molecule	logP	Encap_Efficiency	n_beads	epsilon_W	epsilon_EO	epsilon_N1	epsilon_polymer	relative_polymer_over_W	delta_polymer_minus_W	plape_plape	plape_res	res_res	res-rest
HEaSC00515	-2.953100	0.099333	4	13.130000	11.051992	9.700000	20.751992	1.580502	7.621992	-26142.500000	-150.370000	-239.489000	-4941.360000
HEaSC00583	-2.839900	0.108733	3	11.260000	9.533745	8.460000	17.993745	1.598024	6.733745	-26202.800000	-143.490000	-166.372000	-5072.270000
HEaSC00334	-2.815500	0.055267	3	10.350000	8.603910	7.390000	15.993910	1.545305	5.643910	-26018.600000	-86.454600	-146.831000	-4108.990000
HEaSC00167	-2.387200	0.090333	3	9.760000	8.250364	7.390000	15.640364	1.602496	5.880364	-26184.300000	-104.387000	-84.066300	-3841.610000
HEaSC00193	-2.291400	0.050667	2	6.840000	5.547972	4.620000	10.167972	1.486546	3.327972	-26195.200000	-46.250700	-3.331150	-2601.040000
HEaSC00072	-2.261800	0.022467	1	4.530000	3.590613	2.320000	5.910613	1.304771	1.380613	-26238.000000	-22.208700	-3.084140	-2320.410000
HEaSC00068	-2.253100	0.021333	1	4.530000	3.590613	2.320000	5.910613	1.304771	1.380613	-25708.100000	-23.795800	-2.810050	-2320.930000
HEaSC00457	-2.235700	0.064667	2	8.160000	6.920579	6.010000	12.930579	1.584630	4.770579	-26226.400000	-97.848600	-15.519700	-4226.300000
HEaSC00346	-2.169600	0.164933	4	12.020000	10.808346	9.850000	20.658346	1.718664	8.638346	-26174.900000	-342.637000	-216.371000	-4187.290000
HEaSC00536	-2.079000	0.076467	2	8.160000	6.920579	6.010000	12.930579	1.584630	4.770579	-26227.700000	-80.364100	-13.911500	-4190.380000
HEaSC00335	-2.052900	0.141933	3	9.940000	8.572343	8.000000	16.572343	1.667238	6.632343	-25954.300000	-151.145000	-74.256900	-4165.030000
HEaSC00538	-1.997200	0.137467	3	10.400000	9.400043	8.460000	17.860043	1.717312	7.460043	-26111.000000	-318.094000	-169.288000	-4502.910000
HEaSC00189	-1.951900	0.057933	2	6.520000	5.385020	4.620000	10.005020	1.534512	3.485020	-26139.100000	-51.649900	-3.941620	-2459.160000
HEaSC00434	-1.936200	0.112000	3	9.800000	8.318033	7.540000	15.858033	1.618167	6.058033	-26166.900000	-160.978000	-11.108500	-3806.530000
HEaSC00231	-1.932800	0.112467	3	10.300000	8.802964	8.150000	16.952964	1.645919	6.652964	-26164.500000	-218.323000	-15.511500	-4220.830000
HEaSC00435	-1.920600	0.109667	3	9.800000	8.318033	7.540000	15.858033	1.618167	6.058033	-26213.600000	-163.042000	-11.153700	-3798.810000
HEaSC00325	-1.891000	0.065333	2	7.430000	6.314855	5.690000	12.004855	1.615727	4.574855	-26233.400000	-115.597000	-7.876860	-3473.590000
HEaSC00439	-1.889200	0.124267	3	10.300000	8.802964	8.150000	16.952964	1.645919	6.652964	-26225.300000	-222.347000	-14.829100	-4218.440000
HEaSC00331	-1.863100	0.074533	2	7.430000	6.314855	5.690000	12.004855	1.615727	4.574855	-25829.000000	-101.338000	-7.633510	-3457.500000
HEaSC00070	-1.850900	0.024933	1	4.750000	4.103809	2.960000	7.063809	1.487118	2.313809	-26057.500000	-45.533700	-6.378940	-2912.680000
HEaSC00253	-1.835200	0.058533	2	7.430000	6.314855	5.690000	12.004855	1.615727	4.574855	-26249.000000	-97.146000	-7.533260	-3437.590000
HEaSC00164	-1.833500	0.030333	1	4.750000	4.103809	2.960000	7.063809	1.487118	2.313809	-26043.600000	-47.458000	-6.685950	-2910.150000
HEaSC00055	-1.821300	0.126933	3	8.710000	7.479556	6.930000	14.409556	1.654369	5.699556	-26107.700000	-247.229000	-20.604500	-3122.020000
HEaSC00324	-1.788200	0.074733	2	7.430000	6.314855	5.690000	12.004855	1.615727	4.574855	-26208.500000	-87.789600	-7.036960	-3432.150000
HEaSC00174	-1.776000	0.023333	1	4.750000	3.888444	2.960000	6.848444	1.441778	2.098444	-26238.000000	-34.085400	-4.690110	-2922.660000
HEaSC00175	-1.767300	0.028533	1	4.750000	3.888444	2.960000	6.848444	1.441778	2.098444	-26235.000000	-33.176700	-4.857940	-2924.410000
HEaSC00161	-1.762100	0.022067	1	4.750000	3.888444	2.960000	6.848444	1.441778	2.098444	-26151.000000	-34.572200	-4.673360	-2925.080000
HEaSC00339	-1.748200	0.044267	2	7.430000	6.314855	5.690000	12.004855	1.615727	4.574855	-26083.200000	-86.559300	-6.890110	-3427.790000
HEaSC00373	-1.729000	0.059467	2	7.020000	5.869951	5.230000	11.099951	1.581190	4.079951	-26140.100000	-69.679100	-4.979290	-2935.260000
HEaSC00235	-1.666300	0.130267	3	9.710000	8.449418	8.150000	16.599418	1.709518	6.889418	-26061.400000	-301.080000	-13.126600	-3930.930000
HEaSC00344	-1.642000	0.116400	3	8.390000	7.992098	7.120000	15.112098	1.801204	6.722098	-26024.400000	-246.639000	-99.668000	-2867.850000
HEaSC00410	-1.617600	0.497867	5	13.670000	12.833009	12.160000	24.993009	1.828311	11.323009	-25433.100000	-2099.360000	-336.423000	-3485.510000
HEaSC00338	-1.589700	0.065933	2	7.560000	6.392687	5.700000	12.092687	1.599562	4.532687	-26032.300000	-112.343000	-8.901810	-3581.760000
HEaSC00332	-1.567100	0.152200	3	8.800000	8.437002	7.580000	16.017002	1.820114	7.217002	-26159.300000	-302.820000	-81.906400	-3301.000000
HEaSC00581	-1.561900	0.084200	2	7.490000	6.850707	5.880000	12.730707	1.699694	5.240707	-26084.900000	-134.474000	-9.349530	-3884.620000
HEaSC00294	-1.494000	0.211733	4	11.710000	10.441819	9.850000	20.291819	1.732862	8.581819	-25999.400000	-559.154000	-46.208100	-3949.800000
HEaSC00579	-1.434800	0.073533	2	7.490000	6.850707	5.880000	12.730707	1.699694	5.240707	-26038.900000	-138.773000	-10.079900	-3865.130000
HEaSC00320	-1.386000	0.032867	1	4.520000	3.787314	3.070000	6.857314	1.517105	2.337314	-26265.300000	-40.450100	-4.779020	-2752.170000
HEaSC00184	-1.349400	0.033267	1	4.520000	3.787314	3.070000	6.857314	1.517105	2.337314	-26140.000000	-41.455500	-4.705690	-2748.980000
HEaSC00183	-1.346000	0.034133	1	4.520000	3.787314	3.070000	6.857314	1.517105	2.337314	-26130.300000	-42.351000	-5.083910	-2750.600000
HEaSC00078	-1.344200	0.033333	1	3.420000	2.773986	2.310000	5.083986	1.486546	1.663986	-25989.900000	-23.007100	-1.143660	-1343.700000
