compound,encapsulation_mean
HEaSC00031,0.347333
HEaSC00033,0.5848
HEaSC00035,0.340267
HEaSC00037,0.407333
HEaSC00038,0.4116
HEaSC00040,0.412933
HEaSC00041,0.773333
HEaSC00042,0.403867
HEaSC00043,0.2424
HEaSC00044,0.3438
HEaSC00052,0.359067
HEaSC00053,0.234067
HEaSC00055,0.126933
HEaSC00316,0.1572
HEaSC00319,0.0305333
HEaSC00320,0.0328667
HEaSC00322,0.525267
HEaSC00323,0.672067
HEaSC00324,0.0747333
HEaSC00325,0.0653333
HEaSC00327,0.1486
HEaSC00329,0.130533
HEaSC00331,0.0745333
HEaSC00332,0.1522
HEaSC00334,0.0552667
HEaSC00336,0.342067
HEaSC00338,0.0659333
HEaSC00339,0.0442667
HEaSC00346,0.164933
HEaSC00347,0.156
HEaSC00348,0.1644
HEaSC00350,0.382933
HEaSC00351,0.325867
HEaSC00352,0.318
HEaSC00354,0.0770667
HEaSC00355,0.770067
HEaSC00356,0.774267
HEaSC00359,0.0557333
HEaSC00360,0.0428
HEaSC00361,0.1424
HEaSC00363,0.118733
HEaSC00364,0.130667
HEaSC00373,0.0594667
HEaSC00374,0.992467
HEaSC00376,0.900333
HEaSC00377,0.394133
HEaSC00378,0.892333
HEaSC00379,0.929667
HEaSC00380,0.417667
HEaSC00382,0.4918
HEaSC00383,0.4708
HEaSC00384,0.901867
HEaSC00385,0.611
HEaSC00387,0.9776
HEaSC00389,0.831933
HEaSC00390,0.363133
HEaSC00391,0.9258
HEaSC00392,0.361067
HEaSC00393,0.363533
HEaSC00394,0.4508
HEaSC00395,0.970267
HEaSC00396,0.393267
HEaSC00397,0.872467
HEaSC00398,0.3714
HEaSC00401,0.430533
HEaSC00404,0.604933
HEaSC00406,0.9626
HEaSC00408,0.968667
HEaSC00409,0.450067
HEaSC00410,0.497867
HEaSC00412,0.909067
HEaSC00413,0.903133
HEaSC00416,0.635
HEaSC00417,0.1656
HEaSC00418,0.6356
HEaSC00419,0.8862
