compound,logP
HEaSC00515,-2.9531
HEaSC00583,-2.8399
HEaSC00334,-2.8155
HEaSC00167,-2.3872
HEaSC00193,-2.2914
HEaSC00072,-2.2618
HEaSC00068,-2.2531
HEaSC00457,-2.2357
HEaSC00346,-2.1696
HEaSC00536,-2.079
HEaSC00335,-2.0529
HEaSC00538,-1.9972
HEaSC00189,-1.9519
HEaSC00434,-1.9362
HEaSC00231,-1.9328
HEaSC00435,-1.9206
HEaSC00325,-1.891
HEaSC00439,-1.8892
HEaSC00331,-1.8631
HEaSC00070,-1.8509
HEaSC00253,-1.8352
HEaSC00164,-1.8335
HEaSC00055,-1.8213
HEaSC00324,-1.7882
HEaSC00174,-1.776
HEaSC00175,-1.7673
HEaSC00161,-1.7621
HEaSC00339,-1.7482
HEaSC00373,-1.729
HEaSC00235,-1.6663
HEaSC00344,-1.642
HEaSC00410,-1.6176
HEaSC00338,-1.5897
HEaSC00332,-1.5671
HEaSC00581,-1.5619
HEaSC00294,-1.494
HEaSC00579,-1.4348
HEaSC00320,-1.386
HEaSC00184,-1.3494
HEaSC00183,-1.346
HEaSC00078,-1.3442
HEaSC00349,-1.3338
HEaSC00139,-1.3094
HEaSC00417,-1.285
HEaSC00274,-1.2363
HEaSC00064,-1.2293
HEaSC00057,-1.2136
HEaSC00469,-1.1945
HEaSC00354,-1.1875
HEaSC00475,-1.1805
HEaSC00249,-1.1614
HEaSC00472,-1.1544
HEaSC00470,-1.1544
HEaSC00455,-1.1004
HEaSC00436,-1.0883
HEaSC00252,-1.0378
HEaSC00304,-1.0343
HEaSC00319,-1.0308
HEaSC00360,-1.0047
HEaSC00185,-0.9873
HEaSC00517,-0.9699
HEaSC00306,-0.9263
HEaSC00343,-0.9228
HEaSC00409,-0.9194
HEaSC00453,-0.895
HEaSC00452,-0.848
HEaSC00329,-0.841
HEaSC00271,-0.8306
HEaSC00206,-0.8201
HEaSC00524,-0.8079
HEaSC00245,-0.794
HEaSC00150,-0.7557
HEaSC00230,-0.7505
HEaSC00592,-0.7313
HEaSC00162,-0.7278
HEaSC00531,-0.7069
HEaSC00429,-0.7
HEaSC00159,-0.686
HEaSC00428,-0.686
HEaSC00187,-0.6791
HEaSC00432,-0.6791
HEaSC00147,-0.6773
HEaSC00188,-0.6651
HEaSC00430,-0.6617
HEaSC00433,-0.6268
HEaSC00576,-0.6216
HEaSC00228,-0.6059
HEaSC00504,-0.6059
HEaSC00211,-0.6042
HEaSC00104,-0.592
HEaSC00485,-0.5903
HEaSC00401,-0.5868
HEaSC00488,-0.5833
HEaSC00484,-0.5816
HEaSC00503,-0.5798
HEaSC00449,-0.5781
HEaSC00264,-0.5624
HEaSC00451,-0.5572
HEaSC00120,-0.5554
HEaSC00222,-0.552
HEaSC00502,-0.5433
HEaSC00136,-0.538
HEaSC00491,-0.498
HEaSC00603,-0.4719
HEaSC00525,-0.4649
HEaSC00316,-0.4353
HEaSC00437,-0.4353
HEaSC00342,-0.4301
HEaSC00394,-0.4231
HEaSC00160,-0.4092
HEaSC00505,-0.404
HEaSC00220,-0.4022
HEaSC00087,-0.3273
HEaSC00514,-0.3221
HEaSC00121,-0.3099
HEaSC00305,-0.303
HEaSC00345,-0.303
HEaSC00122,-0.2977
HEaSC00106,-0.2977
HEaSC00495,-0.296
HEaSC00363,-0.2803
HEaSC00364,-0.2612
HEaSC00273,-0.2507
HEaSC00596,-0.2229
HEaSC00250,-0.2159
HEaSC00190,-0.2072
HEaSC00327,-0.1985
HEaSC00296,-0.195
HEaSC00176,-0.1881
HEaSC00202,-0.1585
HEaSC00377,-0.1306
HEaSC00118,-0.1167
HEaSC00297,-0.1097
HEaSC00398,-0.0818
HEaSC00396,-0.0784
HEaSC00272,-0.0696
HEaSC00359,-0.0383
HEaSC00390,-0.0348
HEaSC00393,-0.0348
HEaSC00450,-0.0331
HEaSC00289,-0.0331
HEaSC00483,-0.0261
HEaSC00490,-0.0226
HEaSC00392,-0.0209
HEaSC00366,0.0017
HEaSC00489,0.0139
HEaSC00365,0.0244
HEaSC00112,0.047
HEaSC00100,0.0522
HEaSC00156,0.0627
HEaSC00191,0.0784
HEaSC00473,0.0818
HEaSC00154,0.0818
HEaSC00259,0.1114
HEaSC00532,0.1585
HEaSC00146,0.1637
HEaSC00471,0.1706
HEaSC00116,0.1759
HEaSC00299,0.1846
HEaSC00404,0.1898
HEaSC00383,0.2002
HEaSC00382,0.2072
HEaSC00528,0.2264
HEaSC00165,0.2351
HEaSC00595,0.2385
HEaSC00597,0.2525
HEaSC00529,0.2647
HEaSC00385,0.2647
HEaSC00256,0.2751
HEaSC00530,0.2751
HEaSC00465,0.2925
HEaSC00287,0.296
HEaSC00416,0.2995
HEaSC00535,0.3117
HEaSC00298,0.3361
HEaSC00179,0.3482
HEaSC00589,0.3569
HEaSC00181,0.3622
HEaSC00302,0.3953
HEaSC00074,0.4005
HEaSC00575,0.404
HEaSC00574,0.4092
HEaSC00148,0.4109
HEaSC00152,0.4109
HEaSC00209,0.4597
HEaSC00303,0.5276
HEaSC00219,0.5293
HEaSC00526,0.5346
HEaSC00367,0.538
HEaSC00600,0.5642
HEaSC00570,0.5746
HEaSC00207,0.5746
HEaSC00422,0.599
HEaSC00419,0.6216
HEaSC00095,0.6373
HEaSC00101,0.6582
HEaSC00053,0.6617
HEaSC00594,0.6651
HEaSC00034,0.6686
HEaSC00361,0.6686
HEaSC00043,0.6756
HEaSC00119,0.6791
HEaSC00593,0.6843
HEaSC00026,0.6895
HEaSC00464,0.6965
HEaSC00093,0.7139
HEaSC00351,0.7156
HEaSC00350,0.7156
HEaSC00467,0.7331
HEaSC00067,0.7365
HEaSC00216,0.7487
HEaSC00301,0.7609
HEaSC00418,0.7714
HEaSC00096,0.7748
HEaSC00352,0.7783
HEaSC00126,0.7835
HEaSC00446,0.8097
HEaSC00251,0.8184
HEaSC00412,0.8271
HEaSC00556,0.848
HEaSC00413,0.8497
HEaSC00262,0.8567
HEaSC00445,0.8619
HEaSC00460,0.8741
HEaSC00263,0.8793
HEaSC00447,0.888
HEaSC00158,0.8985
HEaSC00533,0.9037
HEaSC00240,0.9159
HEaSC00218,0.9437
HEaSC00408,0.9437
HEaSC00425,0.949
HEaSC00265,0.9507
HEaSC00059,0.9681
HEaSC00348,0.9733
HEaSC00061,0.9786
HEaSC00080,0.9995
HEaSC00341,1.0047
HEaSC00542,1.0047
HEaSC00260,1.0064
HEaSC00258,1.0099
HEaSC00500,1.0186
HEaSC00347,1.0343
HEaSC00288,1.0482
HEaSC00266,1.0708
HEaSC00426,1.1248
HEaSC00196,1.1405
HEaSC00549,1.1649
HEaSC00081,1.1684
HEaSC00086,1.1753
HEaSC00527,1.1753
HEaSC00427,1.1805
HEaSC00130,1.1875
HEaSC00438,1.1945
HEaSC00406,1.2136
HEaSC00397,1.2293
HEaSC00544,1.2397
HEaSC00313,1.2432
HEaSC00431,1.245
HEaSC00186,1.2519
HEaSC00380,1.2572
HEaSC00314,1.2606
HEaSC00573,1.2693
HEaSC00461,1.285
HEaSC00548,1.2868
HEaSC00097,1.2955
HEaSC00051,1.3007
HEaSC00107,1.3198
HEaSC00389,1.3425
HEaSC00058,1.3442
HEaSC00063,1.3477
HEaSC00462,1.3494
HEaSC00551,1.3634
HEaSC00255,1.3686
HEaSC00550,1.3912
HEaSC00312,1.3947
HEaSC00131,1.3965
HEaSC00153,1.3982
HEaSC00103,1.4034
HEaSC00257,1.4086
HEaSC00322,1.4191
HEaSC00323,1.4243
HEaSC00052,1.433
HEaSC00134,1.4417
HEaSC00050,1.4504
HEaSC00044,1.487
HEaSC00031,1.4992
HEaSC00035,1.5009
HEaSC00496,1.5114
HEaSC00282,1.5114
HEaSC00241,1.5166
HEaSC00384,1.527
HEaSC00569,1.5358
HEaSC00571,1.5479
HEaSC00217,1.5845
HEaSC00281,1.5915
HEaSC00336,1.5915
HEaSC00590,1.6037
HEaSC00151,1.6263
HEaSC00054,1.6489
HEaSC00309,1.6576
HEaSC00391,1.689
HEaSC00497,1.7134
HEaSC00591,1.7221
HEaSC00355,1.7586
HEaSC00566,1.7639
HEaSC00356,1.7726
HEaSC00041,1.8109
HEaSC00083,1.8143
HEaSC00379,1.8248
HEaSC00376,1.8283
HEaSC00098,1.8387
HEaSC00099,1.8701
HEaSC00498,1.8718
HEaSC00089,1.8788
HEaSC00378,1.8857
HEaSC00214,1.9223
HEaSC00395,2.0059
HEaSC00254,2.025
HEaSC00311,2.0686
HEaSC00403,2.133
HEaSC00036,2.2079
HEaSC00132,2.2375
HEaSC00387,2.2392
HEaSC00040,2.2427
HEaSC00092,2.2462
HEaSC00286,2.2549
HEaSC00459,2.2671
HEaSC00114,2.2688
HEaSC00605,2.274
HEaSC00037,2.2758
HEaSC00113,2.2775
HEaSC00042,2.2827
HEaSC00038,2.2914
HEaSC00568,2.3576
HEaSC00242,2.3646
HEaSC00567,2.3681
HEaSC00115,2.3715
HEaSC00203,2.3837
HEaSC00547,2.4307
HEaSC00606,2.4725
HEaSC00082,2.4917
HEaSC00157,2.4986
HEaSC00315,2.523
HEaSC00128,2.5422
HEaSC00032,2.5439
HEaSC00033,2.5474
HEaSC00091,2.5509
HEaSC00102,2.5909
HEaSC00138,2.5996
HEaSC00109,2.6501
HEaSC00084,2.6815
HEaSC00424,2.7163
HEaSC00604,2.7964
HEaSC00284,2.8713
HEaSC00307,2.9653
HEaSC00094,3.1499
HEaSC00290,3.512
HEaSC00085,3.6461
HEaSC00374,4.0744
Diflufenzopyr-sodium,-6.6938
Methyl_salicylate,-2.2823
Benodanil,-2.1396
Simetryn,0.0296
Pentachlorothioanisole,0.3691
Chloroneb,0.7643
Prothiocarb,1.3614
4-phenylenediamine,1.7949
Dimethametryn,1.7984
Aminocarb,1.9446
Bendiocarb,2.0891
2-Phenoxyethanol,2.157
Sodium_salicylate,2.4233
4-Aminobenzoic_acid,2.4999
XMC,2.6148
3-aminobezoic_acid,2.6531
Monolinuron,2.815
Salicylic_acid,2.8673
Metobromuron,2.9752
8-Hydroxyquinoline-5-sulfonic_acid,3.0849
4-aminoPhenol,3.118
2-hydroxybenzoic_acid,3.1354
N-methylAniline,3.1597
Propoxur,3.1737
Ethiolate,3.1928
Fenuron,3.2102
4-Hydroxybenzoic_acid,3.2485
4-chloroAniline,3.3216
4-methylAniline,3.346
3-hydroxybenzoic_acid,3.3704
4-hydroxyPhenol,3.3756
Linuron,3.4331
Dioxacarb,3.4853
Chloramben,3.5201
Monuron,3.6124
2-chloroAniline,3.6455
Fenobucarb,3.7203
Vernolate,3.8544
Isoprocarb,3.8613
2-nitroAniline,3.877
4-toluidine,3.9083
Hydroquinone,4.0441
MCPB,4.0702
Promecarb,4.0929
3-nitroPhenol,4.0946
2-hydroxyPhenol,4.112
Diuron,4.1138
Chlorbromuron,4.1277
3-nitroAniline,4.1747
c16_t8_10_lp02_22_32_42_132_162_Sgn13_14_15ht_Poly,4.1869
4-methyl-3-nitroAniline,4.2408
4-methylPhenol,4.2652
Carbofuran,4.2774
3-methoxyPhenol,4.3209
4-nitroAniline,4.3331
4-chloroPhenol,4.3453
2-nitroPhenol,4.3575
Dicloran,4.3627
Methyl_2-aminobenzoate,4.448
Methabenzthiazuron,4.5229
Ethiofencarb,4.5316
o-Cresol,4.5472
Methiocarb,4.5507
Butylparaben,4.5594
Triazamate,4.6273
2_4_6-TrichloroPhenol,4.636
2_3_5_6-TetrachloroAniline,4.6865
Methylparaben,4.7039
3-Chloro-4-methylbenzenamine_hydrochloride,4.7161
4-Chloro-3-methylPhenol,4.7196
2-methyl-5-nitroAniline,4.7283
Ethylparaben,4.7422
Fluometuron,4.791
2-chloroPhenol,4.8101
2-methylPhenol,4.8188
Propyl_gallate,4.8397
Propylparaben,4.8415
Benzothiazole,4.885
Triadimenol,4.9233
2-Hydroxyacetophenone,4.925
Piperonal,4.9494
Isoproturon,4.9581
4-Tolyl_acetate,4.9616
Chlorotoluron,4.9999
2-methoxyAniline,5.0103
Carbetamide,5.0417
Mecoprop,5.0556
2-methoxy-5-nitroAniline,5.0817
Karbutilate,5.0834
8-Hydroxyquinoline,5.0939
Propham,5.0956
4-hydroxyacetophenone,5.0991
Dicamba,5.1949
Anisole,5.2332
Chlorpropamide,5.2715
Procaine_hydrochloride,5.2802
Metoxuron,5.315
Dicamba-dimethylammonium,5.3498
4-MethoxyPhenol,5.3568
Diallyl_diSulfide,5.3602
Carbaryl,5.3985
Cycloate,5.4125
Methyl_3-methylorsellinate,5.4699
Indole,5.4926
2_7_8_9-Tricyclazole,5.4995
Sodium_dicamba,5.503
4-Chloro-3_5-dimethylPhenol,5.597
"4-methyl-2,6-dinitroPhenol",5.6144
4-tert-ButylPhenol,5.6266
3_4-Dihydro-6-methyl-N-phenyl-2H-pyran-5-carboxami,5.6875
Dichlorprop-P,5.6962
Ethyl_anthranilate,5.7032
Dimethenamide_ESA,5.799
Dichlorprop,5.846
Cyclanilide,5.9017
4-Nitro-3-methylPhenol,5.9156
PentachloroAniline,5.9609
Diethofencarb,6.0183
Sodium_2-methoxy-5-nitroPhenolate,6.0375
Isoamyl_salicylate,6.0514
thioanisole,6.0653
Pendimethalin,6.074
2-methylIndole,6.0775
Ioxynil,6.1228
Bromoxynil,6.1245
2-Methyl-4_6-dinitroPhenol,6.1732
3-Ethoxy-4-hydroxybenzaldehyde,6.175
2_4-D-Butotyl,6.2028
Dinobuton,6.2359
Bromoxynil_heptanoate,6.2655
Picric_acid,6.3456
"1,4-dimethoxybenzene",6.3613
2_4-Dichlorophenoxybutyric_acid,6.3996
Pentyl_2-hydroxybenzoate,6.4344
Fenson,6.4657
Benfuresate,6.504
1-methylIndole,6.5406
Thymol,6.5475
Pebulate,6.5528
"3,4-dimethoxyPhenol",6.5841
Butylate,6.5911
2-Naphthalenol,6.7338
Diallate,6.8731
Prodiamine,6.9671
Anethole,7.0385
Dimethenamid_OA,7.0402
4-Propylanisole,7.089
Hexyl_salicylate,7.1255
Triadimefon,7.1516
"1,2-dimethoxybenzene",7.2021
1-Naphthol,7.2039
Desmedipham,7.2091
Lemax,7.2213
c16_t8_10_lp122_152_Sgn12_13_14ht_Triton_X-100,7.23
"2-methyl-4,6-dinitroPhenol",7.2509
PentachloroPhenol,7.371
Thiamine_hydrochloride,7.371
Octyl_salicylate,7.5555
Acibenzolar-S-methyl,7.5573
Eugenol,7.6147
2_4-DiisopropylPhenol,7.7905
Prosulfocarb,7.8358
Dinitramine,7.8497
Orbencarb,7.8863
Piperonyl_butoxide,7.8915
Dinoterb,7.9681
Fluazifop,8.1892
Benzyl_salicylate,8.1944
Dimethenamid-P,8.2467
Bromoxynil_octanoate,8.2954
Dimethenamid,8.3076
Diphenylamine,8.332
Dinoseb,8.3598
Monalide,8.426
Propyl-3-tert-butylphenoxyacetate,8.4782
Pentachloroanisole,8.4991
5_7-Dimethoxy-2H-chromen-2-one,8.5827
2_4-Dimethyl-N-phenyl-5-thiazolecarboxamide,8.5914
Thiobencarb,8.6001
p,8.6662
Butylated_hydroxytoluene,8.6714
Methyleugenol,8.7585
2-PhenylPhenol,8.7724
Fenfuram,8.8734
Cinoxate,8.997
Pyrimethanil,9.0161
Metominostrobin,9.0666
Sulisobenzone,9.1154
Napropamide,9.1711
Pentanochlor,9.286
Binapacryl,9.3626
Flurprimidol,9.3887
Clorophene,9.4165
Fluorodifen,9.4183
Aclonifen,9.5175
Fenothiocarb,9.6324
Fipronil_Sulfide,9.6411
Ancymidol,9.6463
Entsufon_sodium,9.7752
2_6-Di-tert-butyl-4-methoxyPhenol,9.8152
Difenoxuron,9.8309
Musk_ambrette,9.897
1_4-Diaminoanthraquinone,9.911
Esprocarb,10.1913
Pyrithiobac-sodium,10.2191
Ethoxyquin,10.3723
Methfuroxam,10.3949
BisPhenol_A,10.4611
Diflubenzuron,10.4628
Cyprodinil,10.4837
Octinoxate,10.5185
Harmine_hydrochloride,10.536
Fluazifop-P,10.5655
Fenhexamid,10.663
2_4_6-TriisopropylPhenol,10.6926
Diflufenzopyr,10.7779
Triflumuron,10.8528
Mepronil,10.9137
Meptyldinocap,11.1313
Capsaicin,11.3942
2-Hydroxy-4-methoxybenzophenone,11.577
Quinoxyfen,12.0314
Flutolanil,12.1393
Methoxychlor,12.7365
Chlorbenside,12.7974
Mandestrobin,13.2831
Phenothrin,13.3336
C1,3.310724421
C2,2.592524944
C3,2.417354339
C4,2.347286098
C5,1.961910768
C6,1.769223103
D,-4.694572195
N1,1.418881895
N1a,1.874325466
N1d,1.874325466
N2,0.980955384
N2a,1.366330714
N2d,1.366330714
N3,0.315307088
N3a,0.665648296
N3d,0.665648296
N4,0.385375329
N4a,0.753233598
N4d,0.753233598
N5,0.0
N5a,0.385375329
N5d,0.385375329
N6,-0.192687665
N6a,0.175170604
N6d,0.175170604
P1,-0.350341209
P1a,0.035034121
P1d,0.035034121
P2,-0.665648296
P2a,-0.332824148
P2d,-0.332824148
P3,-0.893370082
P3a,-0.613097115
P3d,-0.613097115
P4,-1.296262472
P4a,-0.893370082
P4d,-0.893370082
P5,-1.594052499
P5a,-1.22619423
P5d,-1.22619423
P6,-1.61156956
P6a,-1.296262472
P6d,-1.296262472
Q1,-1.909359587
Q2,-2.645076125
Q3,-3.047968515
Q4,-3.293207361
Q5,-4.028923899
SC1,2.487422581
SC2,1.734188983
SC3,1.61156956
SC4,1.471433076
SC5,1.103574807
SC6,0.928404203
SD,-6.376209996
SN1,0.630614175
SN1a,1.051023626
SN1d,1.051023626
SN2,0.367858269
SN2a,0.665648296
SN2d,0.665648296
SN3,-0.315307088
SN3a,0.035034121
SN3d,0.035034121
SN4,-0.157653544
SN4a,0.192687665
SN4d,0.192687665
SN5,-0.630614175
SN5a,-0.175170604
SN5d,-0.175170604
SN6,-0.735716538
SN6a,-0.437926511
SN6d,-0.437926511
SP1,-0.910887142
SP1a,-0.648131236
SP1d,-0.648131236
SP2,-1.20867717
SP2a,-0.945921263
SP2d,-0.945921263
SP3,-1.348813653
SP3a,-1.068540686
SP3d,-1.068540686
SP4,-1.716671922
SP4a,-1.366330714
SP4d,-1.366330714
SP5,-2.067013131
SP5a,-1.664120741
SP5d,-1.664120741
SP6,-2.102047252
SP6a,-1.681637801
SP6d,-1.681637801
SQ1,-1.856808406
SQ2,-2.504939641
SQ3,-3.153070877
SQ4,-3.188104998
SQ5,-3.188104998
SX1,1.64660368
SX2,1.261228351
SX3,1.401364834
SX4,0.753233598
TC1,2.102047252
TC2,1.366330714
TC3,1.173643049
TC4,1.121091867
TC5,0.788267719
TC6,0.630614175
TD,-6.446278238
TN1,0.40289239
TN1a,0.683165357
TN1d,0.683165357
TN2,0.052551181
TN2a,0.40289239
TN2d,0.40289239
TN3,-0.543028873
TN3a,-0.245238846
TN3d,-0.245238846
TN4,-0.507994752
TN4a,-0.210204725
TN4d,-0.210204725
TN5,-0.858335961
TN5a,-0.490477692
TN5d,-0.490477692
TN6,-1.068540686
TN6a,-0.718199478
TN6d,-0.718199478
TP1,-1.261228351
TP1a,-0.875853021
TP1d,-0.875853021
TP2,-1.541501318
TP2a,-1.191160109
TP2d,-1.191160109
TP3,-1.716671922
TP3a,-1.366330714
TP3d,-1.366330714
TP4,-2.119564312
TP4a,-1.664120741
TP4d,-1.664120741
TP5,-2.662593185
TP5a,-2.312251977
TP5d,-2.312251977
TP6,-2.592524944
TP6a,-2.224666675
TP6d,-2.224666675
TQ1,-2.487422581
TQ2,-2.539973762
TQ3,-3.2756903
TQ4,-2.85528085
TQ5,-2.977900273
TX1,1.331296593
TX2,0.910887142
TX3,0.945921263
TX4,0.472960632
X1,2.504939641
X2,2.224666675
X3,2.4348714
X4,1.523984257
