compound,logP,split,stratum
HEaSC00385,0.2646999955177307,train,
HEaSC00196,1.1404999494552612,train,
HEaSC00533,0.9036999940872192,train,
N1d,1.8743255138397217,train,
Methabenzthiazuron,4.522900104522705,train,
P2d,-0.33282414078712463,train,
HEaSC00349,-1.333799958229065,train,
Cyclanilide,5.901700019836426,train,
SC1,2.487422466278076,train,
Methfuroxam,10.39490032196045,train,
HEaSC00469,-1.1944999694824219,train,
HEaSC00113,2.2774999141693115,train,
2-nitroPhenol,4.357500076293945,train,
TQ5,-2.977900266647339,train,
HEaSC00339,-1.7482000589370728,train,
SN5d,-0.17517060041427612,train,
HEaSC00394,-0.42309999465942383,train,
2-methylIndole,6.077499866485596,train,
HEaSC00115,2.371500015258789,train,
HEaSC00316,-0.43529999256134033,train,
HEaSC00327,-0.19850000739097595,train,
HEaSC00453,-0.8949999809265137,train,
HEaSC00304,-1.0342999696731567,train,
P5d,-1.2261942625045776,train,
HEaSC00500,1.0185999870300293,train,
TP4,-2.1195642948150635,train,
Benzothiazole,4.885000228881836,train,
Diphenylamine,8.331999778747559,train,
HEaSC00325,-1.8910000324249268,train,
HEaSC00449,-0.5781000256538391,train,
TP3a,-1.3663307428359985,train,
HEaSC00323,1.424299955368042,train,
Fluazifop-P,10.565500259399414,train,
Fenson,6.465700149536133,train,
TN2a,0.4028923809528351,train,
HEaSC00485,-0.5903000235557556,train,
HEaSC00118,-0.11670000106096268,train,
HEaSC00473,0.08179999887943268,train,
HEaSC00376,1.8282999992370605,train,
HEaSC00547,2.4307000637054443,train,
HEaSC00067,0.7365000247955322,train,
HEaSC00126,0.7835000157356262,train,
HEaSC00384,1.5269999504089355,train,
TP6,-2.592525005340576,train,
HEaSC00475,-1.1805000305175781,train,
Propham,5.095600128173828,train,
SN6,-0.7357165217399597,train,
HEaSC00530,0.2750999927520752,train,
HEaSC00159,-0.6859999895095825,train,
2-Methyl-4_6-dinitroPhenol,6.1732001304626465,train,
SP3,-1.3488136529922485,train,
HEaSC00265,0.9506999850273132,train,
N5d,0.38537532091140747,train,
Sodium_salicylate,2.42330002784729,train,
Ethiolate,3.1928000450134277,train,
HEaSC00266,1.0707999467849731,train,
HEaSC00301,0.7609000205993652,train,
3-nitroAniline,4.174699783325195,train,
HEaSC00092,2.2462000846862793,train,
HEaSC00570,0.5745999813079834,train,
N4d,0.7532336115837097,train,
HEaSC00344,-1.6419999599456787,train,
HEaSC00059,0.9681000113487244,train,
HEaSC00365,0.024399999529123306,train,
N3a,0.6656482815742493,train,
HEaSC00351,0.7156000137329102,train,
SD,-6.3762102127075195,train,
HEaSC00489,0.013899999670684338,train,
Meptyldinocap,11.13129997253418,train,
Prothiocarb,1.3614000082015991,train,
TP6d,-2.2246665954589844,train,
HEaSC00579,-1.4348000288009644,train,
N4a,0.7532336115837097,train,
SN4a,0.19268766045570374,train,
SN5a,-0.17517060041427612,train,
HEaSC00259,0.11140000075101852,train,
N3,0.315307080745697,train,
HEaSC00542,1.004699945449829,train,
Diflufenzopyr-sodium,-6.69379997253418,train,
4-Aminobenzoic_acid,2.4999001026153564,train,
HEaSC00455,-1.1003999710083008,train,
HEaSC00128,2.5422000885009766,train,
SN6a,-0.4379265010356903,train,
4-Propylanisole,7.089000225067139,train,
TX4,0.47296062111854553,train,
Q2,-2.645076036453247,train,
Pendimethalin,6.073999881744385,train,
HEaSC00342,-0.4300999939441681,train,
HEaSC00568,2.357599973678589,train,
Quinoxyfen,12.031399726867676,train,
SP4,-1.7166719436645508,train,
HEaSC00324,-1.7882000207901,train,
Chlorpropamide,5.271500110626221,train,
Orbencarb,7.886300086975098,train,
HEaSC00396,-0.07840000092983246,train,
HEaSC00346,-2.169600009918213,train,
N4,0.38537532091140747,train,
SN1a,1.0510236024856567,train,
2-chloroPhenol,4.810100078582764,train,
HEaSC00093,0.7139000296592712,train,
HEaSC00497,1.7134000062942505,train,
HEaSC00336,1.5915000438690186,train,
HEaSC00058,1.3442000150680542,train,
HEaSC00053,0.6617000102996826,train,
HEaSC00548,1.2868000268936157,train,
Chloroneb,0.7642999887466431,train,
HEaSC00412,0.8270999789237976,train,
SN2,0.36785826086997986,train,
HEaSC00095,0.6373000144958496,train,
Dicloran,4.36269998550415,train,
HEaSC00203,2.383699893951416,train,
HEaSC00162,-0.7278000116348267,train,
HEaSC00074,0.40049999952316284,train,
HEaSC00589,0.35690000653266907,train,
HEaSC00462,1.3494000434875488,train,
HEaSC00290,3.51200008392334,train,
HEaSC00498,1.8717999458312988,train,
HEaSC00101,0.6582000255584717,train,
SC4,1.4714330434799194,train,
HEaSC00383,0.20020000636577606,train,
HEaSC00189,-1.9519000053405762,train,
HEaSC00363,-0.28029999136924744,train,
HEaSC00343,-0.9228000044822693,train,
HEaSC00072,-2.2618000507354736,train,
2-hydroxyPhenol,4.111999988555908,train,
Triflumuron,10.852800369262695,train,
TC6,0.630614161491394,train,
P3d,-0.6130971312522888,train,
Napropamide,9.171099662780762,train,
HEaSC00256,0.2750999927520752,train,
HEaSC00055,-1.8213000297546387,train,
Fluorodifen,9.418299674987793,train,
HEaSC00403,2.132999897003174,train,
TP3,-1.7166719436645508,train,
4-Chloro-3_5-dimethylPhenol,5.5970001220703125,train,
8-Hydroxyquinoline-5-sulfonic_acid,3.08489990234375,train,
HEaSC00250,-0.2159000039100647,train,
HEaSC00150,-0.7556999921798706,train,
SP2a,-0.9459212422370911,train,
5_7-Dimethoxy-2H-chromen-2-one,8.5826997756958,train,
4-chloroPhenol,4.345300197601318,train,
HEaSC00084,2.68149995803833,train,
Propyl_gallate,4.839700222015381,train,
Ethyl_anthranilate,5.703199863433838,train,
TP1a,-0.8758530020713806,train,
HEaSC00429,-0.699999988079071,train,
HEaSC00597,0.2524999976158142,train,
Salicylic_acid,2.867300033569336,train,
Phenothrin,13.333600044250488,train,
Hydroquinone,4.044099807739258,train,
Bromoxynil,6.124499797821045,train,
P4d,-0.8933700919151306,train,
HEaSC00392,-0.020899999886751175,train,
P2,-0.6656482815742493,train,
2-methyl-5-nitroAniline,4.728300094604492,train,
Musk_ambrette,9.897000312805176,train,
SP1d,-0.648131251335144,train,
HEaSC00595,0.23849999904632568,train,
HEaSC00345,-0.30300000309944153,train,
HEaSC00242,2.3645999431610107,train,
HEaSC00356,1.7726000547409058,train,
HEaSC00103,1.40339994430542,train,
HEaSC00320,-1.3860000371932983,train,
HEaSC00573,1.2692999839782715,train,
TP5d,-2.3122520446777344,train,
SN3a,0.035034120082855225,train,
X2,2.2246665954589844,train,
TP3d,-1.3663307428359985,train,
4-Tolyl_acetate,4.961599826812744,train,
HEaSC00397,1.2293000221252441,train,
Sulisobenzone,9.115400314331055,train,
HEaSC00430,-0.6617000102996826,train,
4-Nitro-3-methylPhenol,5.915599822998047,train,
HEaSC00078,-1.3442000150680542,train,
TN5a,-0.49047768115997314,train,
HEaSC00235,-1.6663000583648682,train,
TQ1,-2.487422466278076,train,
Q4,-3.2932074069976807,train,
TX1,1.3312965631484985,train,
SP2,-1.2086771726608276,train,
HEaSC00190,-0.20720000565052032,train,
TC5,0.7882677316665649,train,
Triadimenol,4.923299789428711,train,
HEaSC00119,0.679099977016449,train,
"4-methyl-2,6-dinitroPhenol",5.6143999099731445,train,
HEaSC00380,1.257200002670288,train,
HEaSC00096,0.7748000025749207,train,
HEaSC00206,-0.8201000094413757,train,
HEaSC00526,0.534600019454956,train,
HEaSC00100,0.05220000073313713,train,
SP3a,-1.0685406923294067,train,
TD,-6.446278095245361,train,
HEaSC00116,0.17589999735355377,train,
Promecarb,4.092899799346924,train,
HEaSC00174,-1.7760000228881836,train,
TP1,-1.261228322982788,train,
HEaSC00050,1.4503999948501587,train,
HEaSC00465,0.29249998927116394,train,
HEaSC00332,-1.5671000480651855,train,
HEaSC00157,2.4986000061035156,train,
HEaSC00576,-0.6215999722480774,train,
SP4a,-1.3663307428359985,train,
HEaSC00146,0.16369999945163727,train,
HEaSC00373,-1.7289999723434448,train,
HEaSC00422,0.5989999771118164,train,
HEaSC00175,-1.767300009727478,train,
Dioxacarb,3.485300064086914,train,
HEaSC00121,-0.3098999857902527,train,
3-nitroPhenol,4.094600200653076,train,
HEaSC00502,-0.5432999730110168,train,
Fluometuron,4.790999889373779,train,
HEaSC00302,0.3953000009059906,train,
Methyleugenol,8.758500099182129,train,
"1,4-dimethoxybenzene",6.361299991607666,train,
Diallate,6.8730998039245605,train,
Metoxuron,5.315000057220459,train,
Butylparaben,4.5594000816345215,train,
HEaSC00230,-0.7505000233650208,train,
Carbaryl,5.398499965667725,train,
TP1d,-0.8758530020713806,train,
HEaSC00240,0.9158999919891357,train,
Bromoxynil_heptanoate,6.265500068664551,train,
Mecoprop,5.055600166320801,train,
HEaSC00040,2.2427000999450684,train,
HEaSC00401,-0.5867999792098999,train,
HEaSC00314,1.260599970817566,train,
HEaSC00158,0.8985000252723694,train,
TC4,1.1210918426513672,train,
HEaSC00514,-0.3221000134944916,train,
Fenothiocarb,9.632399559020996,train,
HEaSC00209,0.45969998836517334,train,
"1,2-dimethoxybenzene",7.202099800109863,train,
HEaSC00164,-1.8335000276565552,train,
HEaSC00179,0.3481999933719635,train,
HEaSC00427,1.1805000305175781,train,
HEaSC00181,0.362199991941452,train,
HEaSC00460,0.8741000294685364,train,
N3d,0.6656482815742493,train,
HEaSC00593,0.6843000054359436,train,
4-Chloro-3-methylPhenol,4.719600200653076,train,
HEaSC00305,-0.30300000309944153,train,
HEaSC00289,-0.03310000151395798,train,
HEaSC00389,1.3424999713897705,train,
4-MethoxyPhenol,5.356800079345703,train,
HEaSC00361,0.6686000227928162,train,
TN4a,-0.21020472049713135,train,
Flurprimidol,9.388699531555176,train,
HEaSC00085,3.6461000442504883,train,
Pentyl_2-hydroxybenzoate,6.4344000816345215,train,
SX3,1.401364803314209,train,
2_4-Dichlorophenoxybutyric_acid,6.399600028991699,train,
HEaSC00091,2.5508999824523926,train,
HEaSC00549,1.1648999452590942,train,
HEaSC00218,0.9437000155448914,train,
Q3,-3.047968626022339,train,
"2-methyl-4,6-dinitroPhenol",7.250899791717529,train,
Entsufon_sodium,9.775199890136719,train,
HEaSC00600,0.5641999840736389,train,
HEaSC00307,2.9653000831604004,train,
HEaSC00467,0.7330999970436096,train,
3-aminobezoic_acid,2.65310001373291,train,
4-chloroAniline,3.3215999603271484,train,
HEaSC00271,-0.8306000232696533,train,
Methylparaben,4.70389986038208,train,
HEaSC00134,1.4416999816894531,train,
SP6,-2.1020472049713135,train,
HEaSC00491,-0.49799999594688416,train,
4-aminoPhenol,3.118000030517578,train,
HEaSC00160,-0.4092000126838684,train,
2-Hydroxy-4-methoxybenzophenone,11.57699966430664,train,
HEaSC00303,0.5275999903678894,train,
Isoprocarb,3.861299991607666,train,
4-methylAniline,3.3459999561309814,train,
HEaSC00515,-2.9530999660491943,train,
HEaSC00148,0.4108999967575073,train,
SN5,-0.630614161491394,train,
HEaSC00457,-2.2356998920440674,train,
TN2,0.05255118012428284,train,
SP5a,-1.6641207933425903,train,
HEaSC00334,-2.815500020980835,train,
Monolinuron,2.815000057220459,train,
